cluster,txn_count,total_amount,mean_amount,std_amount,median_amount,foreign_txn_share,weekend_share,recency_ratio_mean,recency_ratio_std,recency_ratio_median,hour_mean,hour_std,day_mean,day_std,month_mean,month_std,intertxn_mean_s,intertxn_std_s,intertxn_median_s,intertxn_min_s,intertxn_max_s,device_type_switches,device_type_switch_rate,location_switches,location_switch_rate,transaction_type_switches,transaction_type_switch_rate,time_of_day_switches,time_of_day_switch_rate,day_of_week_switches,day_of_week_switch_rate,device_type_unique_count,device_type_mode_frac,device_type_entropy,location_unique_count,location_mode_frac,location_entropy,transaction_type_unique_count,transaction_type_mode_frac,transaction_type_entropy,time_of_day_unique_count,time_of_day_mode_frac,time_of_day_entropy,day_of_week_unique_count,day_of_week_mode_frac,day_of_week_entropy
0,9.4667,770.0401,82.5296,71.1555,64.3041,0.0,0.2673,1.0167,0.2686,1.0128,11.4033,6.764,13.9107,8.9944,1.2362,0.3941,350988.9972,294262.7358,284070.0,45420.0,868680.0,6.5167,0.7684,6.7833,0.8092,6.15,0.7279,6.45,0.7662,7.4,0.8728,3.8,0.4216,1.7554,4.5333,0.3683,2.0108,3.5333,0.4663,1.6202,3.6667,0.4263,1.7129,5.4,0.3218,2.2745
1,5.0488,381.3563,75.6803,60.0678,61.5085,0.0,0.3082,1.1409,0.4172,1.0281,12.1271,6.7797,13.281,8.8831,1.2519,0.3655,652058.0488,444737.7774,579029.2683,257531.7073,1252624.3902,2.8049,0.7004,3.0488,0.7593,3.0488,0.7553,2.9756,0.7374,3.2683,0.8256,2.8293,0.5314,1.3255,3.2927,0.4657,1.5532,2.9268,0.5304,1.3748,2.9756,0.4942,1.4245,3.5366,0.4346,1.6858
